run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[0].radio.typename,"""Ieee80211DimensionalRadio""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[0].radio.bandName,"""5.9 GHz""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[0].radio.channelNumber,3,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[0].radio.transmitter.power,20mW,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[0].radio.bandwidth,10 MHz,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.typename,"""AttachedMobility""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.mobilityModule,"""^.^.^.^.mobility""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.offsetX,-2.5m,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.offsetZ,1.5m,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMinX,0m,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMaxX,0m,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMinY,0m,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMaxY,0m,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMinZ,0m,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].wlan[*].radio.antenna.mobility.constraintAreaMaxZ,0m,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].ipv4.configurator.typename,"""HostAutoConfigurator""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].ipv4.configurator.interfaces,"""wlan0""",,,,,,,,,
